sasdate,INDPRO,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BUSLOANS,REALLN,NONREVSL,CONSPI,CP3Mx,COMPAPFFx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,INVEST,CIVPART,LNS11300002,LNS11300001,LNS11300012,LNS11300036,LNS11300060,LNS11324230,FEDFUNDS,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,TB3SMFFM,TB6SMFFM
3/1/1960,-0.009021482342,0.001876857973,0.0009051377017,0.01408870866,-0.02803969077,-0.001101988897,-0.003427162295,-0.001150767305,0.001151054442,-0.01996713404,0.009152589246,0.00214639357,-0.01654798589,-0.03208902327,0.0004391540232,-0.01236973007,0.0373154844,0.01026777832,-1.3687,-86,-0.086165236,-0.008008896232,-0.01453672379,0.6,-0.1,0.1520520432,0.07989390922,0.1312994149,0.2308805338,0.02531780798,0.1327225065,-0.001082896763,-0.01190429164,-0.002463590841,-0.05798725765,-0.003685820136,-0.006109671184,-0.0001560914699,0.004943644068,-0.001168697036,0.001576162746,-0.0008967806179,0.002789402088,0.0236198744,39.5,-0.1,40,7.011213987,4.983606622,5.327876169,6.059123196,5.796057751,6.86171134,5.111987788,5.241747015,5.609471795,5.789960171,-0.01112604602,-0.02262520025,0.008161580058,0.030993377,-0.0000005109338579,0.00234108053,0.003050733065,0.001802544724,0.0006122567295,0.002588953752,0.00086914,-0.17,0.65,-0.0001613925878,0,0.0009270484868,-0.0007357965329,0.0090226176,0.01197619105,-0.003241493924,0.009820046181,0,-0.001361007355,-0.004405293468,-0.003338901266,-0.00002066137047,0.005979077697,-0.0026007817,-0.00001765427631,0,0,-0.003338901266,-0.0004541633768,-0.00453712314,0.001790702143,-0.001146240564,-0.00002010919292,0.0301313411,-0.004683849312,0.003489992954,-0.6,-0.5,-0.6,-0.7,-0.5,-0.6,-0.6,-0.13,-0.65,-0.69,-0.64,-0.38,-0.24,-0.07,-0.09,-0.53,-0.23
4/1/1960,-0.007956339438,0.003464586558,0.003612380244,0.01530232858,0.009852570151,0.02590339061,0.002286079415,0.001150767305,0.006881593417,-0.001188450692,0.01019813231,-0.01077833671,-0.02363709508,-0.03653029863,-0.008798841196,-0.007949630707,0.001220333334,0.03018553195,-0.9828,-40,0.003764053,0.01710459304,0.01968953313,-0.2,-0.4,0.04058186965,-0.1113306826,-0.06795066191,-0.1098664776,-0.02066663681,-0.03075871134,0.006571083525,0.003761049283,0.00535418398,0.0418072778,-0.003379997478,-0.006363608812,0.0009361835603,0.008119508609,0.01446712141,0.003929572243,0.01746722697,0.002781642962,0.001055161596,39.8,-0.4,40,7.161622003,5.384495063,5.66296048,6.144185634,5.758901774,6.923628628,5.241747015,5.497168225,5.655991811,5.693732139,-0.01078815846,-0.01869381299,0.000105557671,-0.010331125,-0.0007165875997,-0.0003422089414,-0.0017702601,0.006563759078,-0.00160814585,0.006011050451,0.001046178,-0.33,0.24,0.0004380050095,-0.001081499911,0.001282188444,0.01253934925,-0.0090226176,-0.01197619105,-0.003241493924,-0.006568010795,0,0.004410524537,0.002195390563,0.003338901266,-0.00002047481086,-0.000008910710228,-0.000006781707023,-0.00419287826,0,0.00321027563,0.003327790093,0.003036132765,0.004115226228,0.004424255195,0.001522902387,-0.00894856079,-0.06807429018,0,0.02413597763,1,1.2,0.8,1.8,1.2,0.7,0.8,0.08,-0.08,-0.06,0.02,-0.02,0.03,-0.04,-0.05,-0.69,-0.37
5/1/1960,-0.001143019949,0.002405293244,0.002427090641,-0.02035142767,-0.03151788758,-0.01504683077,0.005692438102,0.006864516614,0.005696259855,0.009458829856,0.003378039556,0.00324571663,-0.00915363953,-0.01361670643,0.001562620281,-0.005715325062,-0.01227087043,-0.0279164503,-0.7882,-23,0.000838637,0.0006752631268,0.001484668798,-0.1,-0.7,-0.009846589837,0.06939199342,-0.1170857342,-0.1307702312,-0.1025287465,0.05758205982,-0.006185511267,-0.003709432383,-0.0102996486,0.005643168503,-0.005059410709,-0.00793008338,-0.0009361835603,-0.007549561884,-0.01087548605,-0.002093850083,-0.01320572972,0.001189768136,-0.01202419297,39.6,0.3,40.1,7.147559271,5.370638028,5.697093487,6.126869184,5.703782475,6.958448393,5.411646052,5.480638923,5.710427017,5.655991811,0.01203051703,-0.01108360451,0.005998439458,0.030993377,0.001431639471,-0.00000710639799,0.001671994488,-0.00307595421,-0.00194520779,-0.01066835608,0.000080104,0.09,0.4,-0.003301285419,0.0007209449519,-0.00124654989,0.0155585025,0,0,0.003241493924,-0.003252035386,0,-0.003395467776,-0.000004809183617,-0.003350086885,-0.004514680355,-0.002980628138,-0.00000681716699,0.00417537141,0,-0.00001027289958,-0.003327790093,-0.0025873851,-0.00130441818,-0.006700378341,0.0005650420369,0.00894856079,0.0416196681,0,0.003798098003,0,0.1,-0.2,-0.4,0,0,-0.1,-0.07,0.06,0.03,0.17,0.2,0.07,0.01,0.08,-0.56,-0.27
6/1/1960,-0.01265159979,0.0007637415029,-0.0002346224544,-0.0002500000013,0.008552755148,-0.001364293803,-0.01141346466,-0.01146718025,-0.006839415887,-0.01064391324,-0.005633943065,-0.01303539073,-0.01622329779,-0.03252871718,0.0008780899103,-0.0115341324,0.006154256878,-0.004540430697,-1.2475,-40,-0.037326051,0.004413879336,0.001678956719,0.3,0,0.01157420328,0.0958179229,0.069076515,0.1156020097,0.01783486764,0.01385388347,-0.002334066469,-0.006940515767,-0.005556382185,-0.007309002638,-0.007022998487,-0.009974325033,-0.002813820834,0.0001994046354,-0.0008967002036,-0.001385845869,-0.0003574109191,0.001979806626,0,39.5,-0.2,39.9,7.128495946,5.33753808,5.777652323,6.011267174,5.730099783,6.864847778,5.170483995,5.361292166,5.65248918,5.648974238,0.01896558295,-0.00450492618,0.002200912713,0.010331126,0,0.00197968696,0.003237677589,0.002006162969,-0.0007841453933,0.003352330454,0.000869342,-0.44,0.49,-0.002199202229,0.002165257537,-0.00117674341,0.004386643096,0,0,0.003241493924,-0.01307208157,0,0.000336751488,-0.00219058138,0.003350086885,0,0,-0.000006852905803,-0.00417537141,0,-0.003200002731,0,-0.0005806052647,-0.002611390369,0.000215482372,-0.0007643462061,-0.004474280395,-0.01142869582,0,-0.009980605899,0.2,0.5,-0.1,1.6,-0.5,0.2,0.1,-0.53,-0.83,-0.84,-0.85,-0.37,-0.2,-0.01,-0.02,-0.86,-0.58
7/1/1960,-0.003480754787,0.001790922862,0.001914474397,0.002060633281,-0.006866012966,-0.01009887822,-0.005757969207,-0.005785386455,-0.009195583132,-0.03879315663,0.002258377009,-0.01211060255,0.001167575977,0.005890019013,-0.00832465335,-0.00232469903,0.009768703632,0.02471963747,-0.4961,-65,-0.025579426,-0.002706206593,-0.003921959645,0.1,0.7,-0.01682662271,0.001690617478,0.07552884247,0.1288808576,0.01005033585,0.03742696366,-0.000773096289,-0.00364488818,-0.02810384947,0.0009998334444,-0.003432757022,-0.00474797999,-0.001566661765,0.0007972211572,-0.0004486518089,-0.0003748828535,0.0004467436927,0.00315956029,0.001185255561,39.6,0,39.9,7.087573706,5.288267031,5.723585102,5.976350909,5.700443573,6.906754779,5.38907173,5.411646052,5.590986981,5.66296048,-0.03464029848,-0.01475938802,0.003970332248,0.010331126,0.004288784272,0.001294774748,0.008000042667,-0.01032582759,0.001442140428,-0.001355084853,0.000359367,-0.42,0.16,-0.0003476850009,-0.005404426888,0.00203168789,-0.003875578538,0.002989538848,0.002971770389,-0.006482987848,0.01307208157,0,-0.003380206511,0.00218579322,0,0.004494389588,-0.002980628138,0.00262123348,0.004158010149,0.003372684479,0,0,0.001350930895,0.002815852985,0.001777827521,0.0005633599928,0.004454350349,0.007547205635,0,0.03217594073,-0.2,-0.3,-0.1,-2.4,0,0,-0.1,-0.09,-0.16,-0.03,-0.16,-0.33,-0.25,-0.04,-0.04,-0.93,-0.52
8/1/1960,-0.001158623443,-0.001596956323,-0.002540403531,-0.0009361251347,-0.001265248971,0.003414288362,-0.002312503045,0,0.002306091305,0.01106261745,0,-0.01338101821,-0.004678505662,-0.005890019013,-0.005269551884,-0.004661097929,0.00363880084,-0.007800420079,-0.677,-21,-0.017799336,0.001375496327,-0.0002124366492,0.1,-0.4,0.02141905328,0.08341539215,0.006493529311,-0.007707167245,0.02469261259,0.07906237857,-0.0006262779037,-0.003396476159,0.02927618255,-0.009707189195,-0.003444581445,-0.003103871243,-0.003927426303,0.000881896989,-0.00008975452144,0.009070103051,-0.0008936870545,0.002756449865,0.003547360939,39.4,0,39.7,7.203405521,5.433722004,5.645446898,6.171700597,5.866468057,6.901737207,5.33753808,5.438079309,5.598421959,5.655991811,0.05908891646,0.007731757102,-0.001878718896,0.010331126,0.003526530818,0.003228674044,0.007165019034,-0.002666443165,0.001210798999,-0.002734733213,0.000472625,-0.05,0.36,-0.0006493356134,-0.001436223856,0.0006407290291,-0.008930005456,-0.005979077697,-0.005943540778,0.003241493924,-0.0199342149,0,0.004056796523,-0.00218579322,0,-0.004494389588,0.005961256276,0,-0.004158010149,-0.003372684479,0,0.003316752626,-0.000131610775,0.0001259733376,0.0006422740278,-0.0007601801667,-0.00001975328151,-0.00005653390623,0.004662013106,-0.02411305054,0,-0.2,0.1,-0.4,-0.4,0.1,0.2,-0.25,0,-0.12,-0.25,-0.17,-0.1,-0.13,-0.14,-0.68,-0.39
9/1/1960,-0.01052343762,0.0013020546,0.0002738922056,0.004734031515,0.016089671,-0.0009350164374,-0.008136135063,-0.005814816888,-0.004620502753,-0.01230104466,-0.003389480998,-0.009021198718,-0.01654932208,-0.01306994322,-0.007081818758,-0.01057105912,0.00843939425,0,-1.1318,-65,-0.009874423,0.004428831743,0.005629469627,-0.1,0.7,-0.04032097458,-0.05921729865,0.05763774279,-0.001936109027,0.1280284744,-0.0213396523,-0.0008295007803,-0.002515592753,-0.006612322968,-0.004720170598,-0.001955034836,-0.002445532566,-0.001260041118,0.00008530360982,-0.001527060705,-0.005439655738,-0.0002146037886,0.002356638954,0.002593423592,39.1,-0.1,39.4,7.00033446,5.267858159,5.676753802,5.950642553,5.424950017,6.891625897,5.323009979,5.393627546,5.575949103,5.686975356,-0.007032554287,0.002641152703,0.001670146555,-0.020662252,-0.008523279721,-0.004289686879,0.004812328825,0.003544352167,0.0004886363918,0.003651523309,0.000720887,0.05,0.79,-0.0009051349617,0,0.0008892209233,0.00277992457,0.002989538848,0.005943540778,0,0.02662320305,0,-0.002028398261,0.002181025946,-0.006734032181,0.004474280395,-0.002980628138,-0.005263170044,0.004140792666,0,0,-0.003316752626,-0.001092773522,-0.00460769723,-0.001613859849,0.000373624611,-0.004434597068,-0.007490671729,-0.00002163354931,0.01151803833,0.2,0.3,0.2,0.5,0.1,0.2,0.3,-0.38,0.18,0.24,0.12,-0.01,0,-0.03,-0.07,-0.12,0.23
10/1/1960,-0.001172245903,0.002949134459,0.003124880477,0.004835419501,-0.0190320629,0.008765738171,0.00581827195,0.004656241511,0.01036553025,0.01107625055,0.01012925699,-0.007960864584,-0.003582198561,-0.01203411864,-0.006048116979,-0.0011799466,0.001199834558,0.005576718241,-0.39,-67,-0.052101004,-0.003813337002,-0.009628653833,0.6,0.6,0.05171061934,0.05532472854,0.1912765883,0.1884397533,0.1944084441,0.05826283007,-0.001568714622,-0.00552502129,-0.001623017693,-0.001014370332,-0.00647886825,-0.009280549642,-0.002524855373,0.0005685048476,-0.0006294681202,-0.001757436839,0.00101895807,-0.0003923876841,0.0009413980455,39.4,0.1,39.7,7.127693699,5.655991811,5.605802066,5.955837369,5.710427017,6.879355804,5.278114659,5.446737372,5.572154032,5.638354669,-0.07631096902,-0.01835342356,-0.0008347246577,0.010331126,-0.001418941523,-0.001315229628,-0.001152848624,0.001162907811,0.0009073391965,-0.002614717774,0.000030125,-0.09,0.83,0.0003482257931,0,-0.0003911597938,0.006252262462,0.008941937376,0.005890916869,0,-0.00004444543213,0,0.004716989878,-0.000004746523765,0.006734032181,-0.004474280395,0.002971770389,0.005263170044,-0.004140792666,0,0.003189795368,0.003305788134,0.0005765342719,0.003548616834,0.001071980038,-0.0008498730965,0.004415018209,0.003724399091,-0.004640379557,0.0123812874,-0.3,-0.5,-0.1,-0.1,-0.6,-0.4,0,-0.13,-0.18,-0.1,-0.03,0.15,0.09,0.05,0.1,-0.17,0.26
11/1/1960,-0.01421958601,-0.004305187327,-0.005749502491,-0.003469214234,-0.009821891802,-0.01439427089,-0.01049738673,-0.01168577397,-0.01849786512,-0.03360373831,-0.01012925699,-0.002286221849,-0.02666904208,-0.04329348759,-0.01052716438,-0.01909458481,0.003590890163,-0.01569443378,-1.7563,-24,-0.012168706,0.007910362436,0.007241513036,0,0.4,-0.02755627862,0.06419719924,0.028194239,0.07719881086,-0.02867579998,0.02285221903,-0.003348661353,-0.008105789925,-0.01622663069,-0.006788892334,-0.007843694434,-0.0112970022,-0.00300656924,-0.0007959973129,-0.003694862943,-0.001723040468,-0.003902688496,0.003525958599,0.001645317095,39,-0.3,39.3,7.127693699,5.710427017,5.624017506,5.96870756,5.620400866,6.886531643,5.323009979,5.407171771,5.613128106,5.624017506,0.001970310212,-0.01087572457,0.000521784504,0.010331126,0.002126906155,0.0009527745046,0.003550356366,0.000804686278,-0.002905744147,-0.000342277899,0.000705883,-0.02,0.84,-0.0002089209242,0.003234372168,0.000711085858,-0.001943237635,-0.008941937376,-0.008862687258,-0.003252035386,-0.006644542719,0,-0.003709094614,-0.004352558845,0,0.004454350349,-0.000008805258501,-0.002642009463,0.004123717184,0,-0.00001014245072,-0.003305788134,0.002236307651,0.007370550206,0.001867948289,0.001124421837,-0.008830036418,-0.003724399091,-0.004640379557,-0.009172434841,0.4,0.5,0.3,0.1,1.1,0.3,0.5,-0.03,0.07,-0.07,0.04,0.05,0.04,0.01,-0.03,-0.07,0.22
12/1/1960,-0.01927804026,-0.004580984184,-0.005861658436,-0.01236356679,0.007822759915,-0.007331329813,-0.01416601726,-0.01300715478,-0.007026636553,-0.03477760264,-0.001132384834,-0.02314242685,-0.02739981335,-0.047905669,-0.002771205623,-0.01701038579,0.003578041794,0.006758407837,-1.5167,-73,-0.037919408,-0.0006248491335,-0.005019459006,0.5,-1.5,0.2017284489,0.07128237245,-0.06852574547,-0.1350183817,0.007246408521,-0.03015115045,-0.004066744693,-0.0134417104,-0.01253508824,-0.02552742962,-0.0109785194,-0.01384223898,-0.006997484023,0.000909659509,-0.002802768437,-0.001425623952,-0.001957070765,0.001172562182,0.009466558161,38,-0.1,38.4,6.968850378,4.976733742,5.509388337,5.863631176,5.765191103,6.857514063,5.129898715,5.472270674,5.634789603,5.575949103,0.01281377108,-0.007772834446,-0.0118592983,-0.010331126,-0.001420454784,0.0002998759608,0.003824096438,0.006284955168,0.004672860792,-0.001576870478,0.000985287,-0.05,1.25,-0.0003947475409,-0.00107927962,-0.00220601406,0.005818420947,-0.002971770389,-0.005899722127,0.003252035386,0.003305788134,0,-0.000001014830107,0.002176279423,0.003372684479,-0.00001975328151,-0.000008753233225,0.005284018926,-0.004123717184,0.003361347703,-0.0000100781561,0.003294895897,-0.003198811103,-0.01377647057,-0.002089818008,-0.001128776022,0.004415018209,0.007407441278,0.009280759113,-0.000740140035,-0.1,0,-0.3,-0.9,-0.2,-0.2,0.2,-0.46,-0.12,-0.16,-0.22,-0.14,-0.09,0.04,0.02,0.27,0.52
